sneakers_ref,img_url2,title,color,brand,img_url
S80783,https://zupport.de/media/image/c9/d5/f3/Adidas-Pure-Boost-All-Terrain-Running-S80783-07_600x600.jpg,adidas Originals Pure Boost ATR Grey,Grau,adidas,https://zupport.de/media/image/5d/93/ab/Adidas-Pure-Boost-All-Terrain-Running-S80783-07_1280x1280.jpg
B26822,https://zupport.de/media/image/28/fa/34/_m2a7606_kopie_600x600.jpg,adidas Original AR-10 W,Schwarz,adidas,https://zupport.de/media/image/53/71/78/_m2a7606_kopie_1280x1280.jpg
CP9822,https://zupport.de/media/image/b9/3c/35/_M2A8661_600x600.jpg,adidas Haven W Blue,Blau,adidas,https://zupport.de/media/image/4f/cf/ca/_M2A8661_1280x1280.jpg
546161-60-3,https://zupport.de/media/image/bd/8a/16/_M2A9121_600x600.jpg,New Balance NB Numeric Skate 505,"Braun, Weiss",New Balance Numeric,https://zupport.de/media/image/4d/9e/10/_M2A9121_1280x1280.jpg
BY9589,https://zupport.de/media/image/0a/65/5c/adidas-EQT-Support-ADV-Black-Friday-BY9589-zupport-01_600x600.jpg,adidas EQT Support ADV Black Friday,Schwarz,adidas,https://zupport.de/media/image/3b/15/1d/adidas-EQT-Support-ADV-Black-Friday-BY9589-zupport-01_1280x1280.jpg
CI4668,https://zupport.de/media/image/fe/bf/2a/ADO_Shoe_Foot_Essence_SET_201704_600x600.png,adidas originals shoe foot essence,,adidas,https://zupport.de/media/image/38/f8/8f/ADO_Shoe_Foot_Essence_SET_201704_1280x1280.png
BB8540,https://zupport.de/media/image/f4/bf/fd/_M2A8060_600x600.jpg,adidas Skateboarding LUCAS PREMIERE ADV,"Blau, Schwarz, Braun",adidas Skateboarding,https://zupport.de/media/image/30/a9/47/_M2A8060_1280x1280.jpg
BY1912,https://zupport.de/media/image/bc/e7/9e/_M2A0417_600x600.jpg,adidas NMD_R1 PK Beige,Beige,adidas,https://zupport.de/media/image/2f/9d/f7/_M2A0417_1280x1280.jpg
C76851,https://zupport.de/media/image/42/57/66/_m2a2480_600x600.jpg,adidas ADV Boost,Black/White,adidas,https://zupport.de/media/image/2e/af/e7/_m2a2480_1280x1280.jpg
BY9057,https://zupport.de/media/image/25/ac/c5/adidas-eqt-cushion-adv-by9507-zupport-01_600x600.jpg,adidas EQT Cushion ADV Black Friday,Black,adidas,https://zupport.de/media/image/2b/49/8f/adidas-eqt-cushion-adv-by9507-zupport-01_1280x1280.jpg
CQ1229,https://zupport.de/media/image/55/2d/fc/_M2A2041_600x600.jpg,adidas Skateboarding Lucas Premiere Primeknit white,Weiss,adidas Skateboarding,https://zupport.de/media/image/24/7d/8a/_M2A2041_1280x1280.jpg
CP9765,https://zupport.de/media/image/02/6b/83/_M2A4508_600x600.jpg,adidas Pharrell Williams Tennis HU Mint,Mint,adidas,https://zupport.de/media/image/1d/e0/cc/_M2A4508_1280x1280.jpg
364990-01,https://zupport.de/media/image/98/d9/53/Puma-Te-Ku-White-364990-01-zupport-01_600x600.jpg,Puma Te-Ku White,White,Puma,https://zupport.de/media/image/1a/77/c1/Puma-Te-Ku-White-364990-01-zupport-01_1280x1280.jpg
807602-113,https://zupport.de/media/image/88/07/b9/Nike-Air-Max-1-GS-White-Gum-807602-113-zupport-01_600x600.jpg,Nike Air Max 1 GS White Gum,Weiss,Nike,https://zupport.de/media/image/18/1b/07/Nike-Air-Max-1-GS-White-Gum-807602-113-zupport-01_1280x1280.jpg
