"sneakers_ref","img_url2","title","color","brand","img_url"
"VN0A3B3UY281","http://images.hhv.de/catalog/new_shop_186x186/00528/528142.jpg","Old Skool Platform","BLACK / WHITE","Vans","http://images.hhv.de/catalog/shop_detail_zoom/00528/528142.jpg"
"918355-001","http://images.hhv.de/catalog/new_shop_186x186/00528/528435.jpg","Air Pegasus '89 EMB","BLACK / BLACK / ANTHRACITE / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00528/528435.jpg"
"918206-002","http://images.hhv.de/catalog/new_shop_186x186/00528/528452.jpg","Air Vortex Leather","COOL GREY / COOL GREY / WHITE / BLACK","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00528/528452.jpg"
"903896-003","http://images.hhv.de/catalog/new_shop_186x186/00528/528621.jpg","Air Vortex","WOLF GREY / BLACK / WHITE / BLACK","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00528/528621.jpg"
"918206-300","http://images.hhv.de/catalog/new_shop_186x186/00528/528635.jpg","Air Vortex Leather","ICED JADE / ICED JADE / LIGHT OREWOOD BROWN","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00528/528635.jpg"
"918227-002","http://images.hhv.de/catalog/new_shop_186x186/00528/528693.jpg","Dualtone Racer","BLACK / WHITE / DARK GREY","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00528/528693.jpg"
"918227-102","http://images.hhv.de/catalog/new_shop_186x186/00528/528694.jpg","Dualtone Racer","WHITE / PURE PLATINUM / WHITE / BLACK","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00528/528694.jpg"
"882097-001","http://images.hhv.de/catalog/new_shop_186x186/00530/530969.jpg","Air Max Bruin Vapor","BLACK / COOL GREY / WHITE / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00530/530969.jpg"
"BY9341","http://images.hhv.de/catalog/new_shop_186x186/00531/531434.jpg","New York","TACTILE ROSE / VINTAGE WHITE / CORE BLACK","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00531/531434.jpg"
"BZ0057","http://images.hhv.de/catalog/new_shop_186x186/00531/531464.jpg","Samba","FOOTWEAR WHITE / CORE BLACK / CLEAR GRANITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00531/531464.jpg"
"CG2919","http://images.hhv.de/catalog/new_shop_186x186/00531/531471.jpg","Intack SPZL","DARK GREEN / OFF WHITE / DARK GREEN","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00531/531471.jpg"
"BY9391","http://images.hhv.de/catalog/new_shop_186x186/00531/531515.jpg","EQT Support ADV Primeknit","FOOTWEAR WHITE / FOOTWEAR WHITE / SUB GREEN","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00531/531515.jpg"
"BY9390","http://images.hhv.de/catalog/new_shop_186x186/00531/531517.jpg","EQT Support ADV Primeknit","CORE BLACK / CORE BLACK / FOOTWEAR WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00531/531517.jpg"
"501.172290-70398","http://images.hhv.de/catalog/new_shop_186x186/00535/535089.jpg","N902","GREEN OLIVINA","Diadora","http://images.hhv.de/catalog/shop_detail_zoom/00535/535089.jpg"
"VN0A38ENOAK1","http://images.hhv.de/catalog/new_shop_186x186/00535/535459.jpg","UA Authentic 44 DX (Anaheim Factory)","BLACK CHECK","Vans","http://images.hhv.de/catalog/shop_detail_zoom/00535/535459.jpg"
"VN0A38G2OAK1","http://images.hhv.de/catalog/new_shop_186x186/00535/535466.jpg","UA Old Skool 36 DX (Anaheim Factory)","BLACK CHECK","Vans","http://images.hhv.de/catalog/shop_detail_zoom/00535/535466.jpg"
"BS6297","http://images.hhv.de/catalog/new_shop_186x186/00535/535740.jpg","Classic Leather NM","COLLEGIATE NAVY / WHITE","Reebok","http://images.hhv.de/catalog/shop_detail_zoom/00535/535740.jpg"
"BS7683","http://images.hhv.de/catalog/new_shop_186x186/00535/535753.jpg","Club C 85","CHALK / BLACK","Reebok","http://images.hhv.de/catalog/shop_detail_zoom/00535/535753.jpg"
"V61811","http://images.hhv.de/catalog/new_shop_186x186/00535/535759.jpg","Workout Plus R12","WHITE / ROYAL / GREY / SAND","Reebok","http://images.hhv.de/catalog/shop_detail_zoom/00535/535759.jpg"
"S70368-10","http://images.hhv.de/catalog/new_shop_186x186/00537/537115.jpg","Jazz Original Vintage","BLACK / WHITE","Saucony","http://images.hhv.de/catalog/shop_detail_zoom/00537/537115.jpg"
"VX021270-WMN","http://images.hhv.de/catalog/new_shop_186x186/00538/538103_1.jpg","V-10 WMN","EXTRA WHITE","Veja","http://images.hhv.de/catalog/shop_detail_zoom/00538/538103_1.jpg"
"VX021270","http://images.hhv.de/catalog/new_shop_186x186/00538/538104.jpg","V-10","EXTRA WHITE","Veja","http://images.hhv.de/catalog/shop_detail_zoom/00538/538104.jpg"
"VX021267-WMN","http://images.hhv.de/catalog/new_shop_186x186/00538/538105_1.jpg","V-10 WMN","EXTRA WHITE / NAUTICO / PEKIN","Veja","http://images.hhv.de/catalog/shop_detail_zoom/00538/538105_1.jpg"
"VX021267","http://images.hhv.de/catalog/new_shop_186x186/00538/538106.jpg","V-10","EXTRA WHITE / NAUTICO / PEKIN","Veja","http://images.hhv.de/catalog/shop_detail_zoom/00538/538106.jpg"
"HLW011423-WMN","http://images.hhv.de/catalog/new_shop_186x186/00538/538109_1.jpg","Holiday LT WMN","PIXEL BURGUNDY BURGUNDY SABLE","Veja","http://images.hhv.de/catalog/shop_detail_zoom/00538/538109_1.jpg"
"584051-60-12","http://images.hhv.de/catalog/new_shop_186x186/00538/538754.jpg","U220 GY","GREY","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00538/538754.jpg"
"584051-60-10","http://images.hhv.de/catalog/new_shop_186x186/00538/538757.jpg","U220 NV","BLUE","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00538/538757.jpg"
"584951-50-9","http://images.hhv.de/catalog/new_shop_186x186/00538/538769.jpg","WRT300 SC","TAN","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00538/538769.jpg"
"580351-60-12","http://images.hhv.de/catalog/new_shop_186x186/00538/538784.jpg","M770 FA Made in UK ""35th Anniversary Pack""","GREY","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00538/538784.jpg"
"580331-60-9","http://images.hhv.de/catalog/new_shop_186x186/00538/538794.jpg","M770 AET Made in UK","BROWN/GREEN","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00538/538794.jpg"
"580121-60-12","http://images.hhv.de/catalog/new_shop_186x186/00538/538797.jpg","M1500 KSG Made in UK","GREY/BLACK","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00538/538797.jpg"
"601601-60-6","http://images.hhv.de/catalog/new_shop_186x186/00544/544712.jpg","M997 FGG Made in USA","GREEN","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00544/544712.jpg"
"604151-60-6","http://images.hhv.de/catalog/new_shop_186x186/00544/544725.jpg","MRL247 RG","GREEN","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00544/544725.jpg"
"604151-60-11","http://images.hhv.de/catalog/new_shop_186x186/00544/544727.jpg","MRL247 RT","BEIGE","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00544/544727.jpg"
"604011-60-8","http://images.hhv.de/catalog/new_shop_186x186/00544/544731.jpg","ML597 SKG","BLACK","New Balance","http://images.hhv.de/catalog/shop_detail_zoom/00544/544731.jpg"
"VA38FRQUW","http://images.hhv.de/catalog/new_shop_186x186/00544/544878.jpg","UA Era","MILITARY MONO / WINTER MOSS","Vans","http://images.hhv.de/catalog/shop_detail_zoom/00544/544878.jpg"
"898033-003","http://images.hhv.de/catalog/new_shop_186x186/00547/547481.jpg","Pocket Knife DM","BLACK / DARK GREY / BLACK / ANTHRACITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00547/547481.jpg"
"AA4061-200","http://images.hhv.de/catalog/new_shop_186x186/00547/547501.jpg","Air Force 1 '07 WB","FLAX / FLAX / GUM LIGHT BROWN / OUTDOOR GREEN","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00547/547501.jpg"
"877045-001","http://images.hhv.de/catalog/new_shop_186x186/00547/547508.jpg","Zoom Bruin Premium SE","BLACK / BLACK / METALLIC PEWTER","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00547/547508.jpg"
"631303-022","http://images.hhv.de/catalog/new_shop_186x186/00547/547517.jpg","Stefan Janoski Max","BLACK / BLACK / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00547/547517.jpg"
"877045-117","http://images.hhv.de/catalog/new_shop_186x186/00547/547522.jpg","Zoom Bruin Premium SE","WHITE / WHITE / METALLIC GOLD / BLACK","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00547/547522.jpg"
"875844-203","http://images.hhv.de/catalog/new_shop_186x186/00547/547620.jpg","Air Max 1 Premium","FLAX / FLAX / SAIL / GUM MED BROWN","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00547/547620.jpg"
"918227-006","http://images.hhv.de/catalog/new_shop_186x186/00547/547629.jpg","Dualtone Racer","BLACK / BLACK / BLACK","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00547/547629.jpg"
"AA1103-002","http://images.hhv.de/catalog/new_shop_186x186/00547/547683.jpg","WMNS Air Max 95 LX","SMOKEY BLUE / SMOKEY BLUE / MUSHROOM","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00547/547683.jpg"
"918354-105","http://images.hhv.de/catalog/new_shop_186x186/00547/547689.jpg","Air Max 1 Premium SC","WHITE / WHITE / DARK OBSIDIAN","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00547/547689.jpg"
"CG4141","http://images.hhv.de/catalog/new_shop_186x186/00547/547822.jpg","Swift Run W","CLEAR BROWN / FOOTWEAR WHITE / CRYSTAL WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00547/547822.jpg"
"BY9387","http://images.hhv.de/catalog/new_shop_186x186/00547/547824.jpg","ZX 700 W","TRACE GREEN / TRACE GREEN / LINEN","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00547/547824.jpg"
"BY9638","http://images.hhv.de/catalog/new_shop_186x186/00547/547830.jpg","Flashback Mid W","TRANCE CARGO / TRANCE CARGO / FOOTWEAR WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00547/547830.jpg"
"BY9798","http://images.hhv.de/catalog/new_shop_186x186/00547/547846_6.jpg","EQT Racing ADV W","CORE BLACK / CORE BLACK / OFF WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00547/547846_6.jpg"
"BY9095","http://images.hhv.de/catalog/new_shop_186x186/00547/547877.jpg","I-5923 W","RAW PINK / CORE BLACK / FOOTWEAR WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00547/547877.jpg"
"BY9096","http://images.hhv.de/catalog/new_shop_186x186/00547/547878.jpg","I-5923 W","TACTILE GREEN / CORE BLACK / FOOTWEAR WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00547/547878.jpg"
"BY4028","http://images.hhv.de/catalog/new_shop_186x186/00550/550389.jpg","Adi-Ease","CORE BLACK / FOOTWEAR WHITE / CORE BLACK","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550389.jpg"
"CQ2624","http://images.hhv.de/catalog/new_shop_186x186/00550/550466.jpg","Deerupt Runner","SOLAR RED / SOLAR RED / BLUE BIRD","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550466.jpg"
"CQ2910","http://images.hhv.de/catalog/new_shop_186x186/00550/550470.jpg","Deerupt Runner W","CHALK PINK / CHALK PINK / BOLD ORANGE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550470.jpg"
"CQ2337","http://images.hhv.de/catalog/new_shop_186x186/00550/550478.jpg","N-5923","CORE BLACK / FOOTWEAR WHITE / GREY ONE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550478.jpg"
"DB0961","http://images.hhv.de/catalog/new_shop_186x186/00550/550481.jpg","N-5923","COLLEGIATE NAVY / FOOTWEAR WHITE / CORE BLACK","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550481.jpg"
